Channel,Timestamp,X,Y,Z
2,110180625,0.001,-0.02,1.047
2,110182949,0.002,-0.02,1.061
2,110185274,0.007,-0.022,1.052
2,110187599,0.011,-0.023,1.043
2,110189923,0.013,-0.027,1.05
2,110192248,0.016,-0.029,1.029
2,110194573,0.015,-0.032,1.039
2,110196897,0.018,-0.033,1.026
2,110199222,0.017,-0.034,1.04
2,110201547,0.018,-0.036,1.04
2,110203871,0.018,-0.036,1.043
2,110206196,0.015,-0.037,1.05
2,110208521,0.014,-0.035,1.042
2,110210846,0.011,-0.032,1.057
2,110213170,0.01,-0.029,1.045
2,110215494,0.007,-0.025,1.052
2,110217818,0.01,-0.022,1.045
2,110220143,0.006,-0.017,1.039
2,110222468,0.007,-0.016,1.049
0,110222552,0.013,0.001,1.01
0,110224878,0.013,0.004,1.003
0,110227205,0.01,0.006,1.018
0,110229532,0.009,0.009,1.013
0,110231858,0.006,0.01,1.024
0,110234185,0.007,0.01,1.026
0,110236512,0.003,0.011,1.03
0,110238838,0.003,0.011,1.038
0,110241165,0,0.012,1.03
0,110243491,0,0.01,1.037
0,110245817,0,0.009,1.022
0,110248144,0,0.007,1.021
0,110250470,0.002,0.003,1.016
0,110252796,0.002,0.001,1.012
0,110255122,0.004,-0.002,1.017
0,110257449,0.006,-0.005,1.01
0,110259775,0.005,-0.007,1.021
0,110262101,0.008,-0.008,1.019
0,110264428,0.008,-0.012,1.026
0,110266754,0.008,-0.013,1.028
0,110269081,0.008,-0.014,1.025
0,110271408,0.009,-0.013,1.026
0,110273734,0.011,-0.014,1.014
0,110276061,0.081,0.006,0.72
0,110278387,0.082,-0.041,-0.998
0,110280714,-0.148,0.031,3.907
0,110283040,0.065,-0.066,1.238
0,110285367,0.157,0.059,0.01
0,110287694,-0.132,-0.009,2.5
0,110290021,0.049,0.025,0.735
2,110224793,0.005,-0.011,1.037
2,110227118,0.004,-0.009,1.052
2,110229442,0.001,-0.009,1.046
2,110231767,-0.002,-0.007,1.061
2,110234092,-0.003,-0.008,1.062
2,110236416,-0.008,-0.007,1.064
2,110238741,-0.011,-0.009,1.072
2,110241066,-0.008,-0.009,1.064
2,110243391,-0.011,-0.01,1.07
2,110245715,-0.009,-0.014,1.058
2,110248039,-0.008,-0.015,1.056
2,110250363,-0.007,-0.015,1.051
2,110252688,-0.007,-0.018,1.047
2,110255012,-0.004,-0.021,1.053
2,110257336,0,-0.024,1.047
2,110259661,0,-0.026,1.054
2,110261986,0.002,-0.028,1.055
2,110264311,0.003,-0.03,1.058
2,110266635,0.004,-0.031,1.061
2,110268960,0.003,-0.031,1.057
2,110271285,0.005,-0.031,1.06
2,110273610,0.009,-0.031,1.046
2,110275934,0.052,0.005,0.866
2,110278259,0.082,-0.101,-1.542
2,110280583,-0.195,0.028,3.872
2,110282908,0.098,-0.08,1.492
2,110285232,0.161,0.087,0.025
2,110287556,-0.151,-0.069,2.587
2,110289881,0.032,0.008,0.823
2,110292205,0.13,-0.019,0.116
0,110292347,0.136,-0.039,0.125
0,110294674,-0.134,-0.028,2.452
0,110297000,0.07,-0.019,0.846
0,110299327,0.069,-0.021,0.373
0,110301654,-0.005,-0.005,0.885
0,110303980,0.016,-0.006,0.655
0,110306306,0.025,-0.02,0.518
0,110308633,0,0.026,1.013
0,110310959,-0.018,-0.031,1.153
0,110313286,0.015,-0.007,1.23
0,110315613,0.002,-0.028,1.067
